taxon_id	common_name	scientific_name
117571	Pacific Herring	Clupea pallasii
63770	Northern Anchovy	Engraulis mordax
201784	Pacific Sand Lance	Ammodytes personatus
113994	Eulachon	Thaleichthys pacificus
54191	Chinook Salmon	Oncorhynchus tshawytscha
69922	Sockeye Salmon	Oncorhynchus nerka
107570	Pink Salmon	Oncorhynchus gorbuscha
53692	Coho Salmon	Oncorhynchus kisutch
107572	Chum Salmon	Oncorhynchus keta
52539	Lingcod	Ophiodon elongatus
47638	Cabezon	Scorpaenichthys marmoratus
68597	Copper Rockfish	Sebastes caurinus
63386	Quillback Rockfish	Sebastes maliger
